Year,Parameter,Discom,ACS (Rs./kWh),ARR (Rs./kWh)
2015-16,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,6.23,5.89
2016-17,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,6.68,6.54
2017-18,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,7.39,6.18
2018-19,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,7.54,5.89
2019-20,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,7.90,5.89
2020-21,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,8.30,5.72
2021-22,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,8.29,6.08
2022-23,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,8.35,5.58
2023-24,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,8.33,5.56
2015-16,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,5.17,4.89
2016-17,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,5.61,5.50
2017-18,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,6.17,5.16
2018-19,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,6.38,4.99
2019-20,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,6.66,4.96
2020-21,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,6.95,4.79
2021-22,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,6.93,5.08
2022-23,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,7.05,4.71
2023-24,Energy Sales,Tamil Nadu Generation and Distribution Corporation Limited,7.11,4.75
